index,County,Precinct,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
0,White,Blue Creek,2352,408,768,236,0,1412,35,155,169,0,359,5,13,7,0,25,1796,
1,White,Blue Ridge,929,173,267,118,1,559,16,35,38,0,89,3,2,2,0,7,655,
2,White,Helen,609,118,136,53,0,307,25,50,37,0,112,0,0,2,0,2,421,
3,White,Mossy Creek,3164,612,1066,299,0,1977,47,108,98,0,253,13,14,3,0,30,2260,
4,White,Mt Yonah,4468,530,1554,463,2,2549,63,277,204,0,544,16,24,2,0,42,3135,
5,White,Nacoochee,1552,207,464,194,1,866,62,147,156,0,365,3,5,2,0,10,1241,
6,White,Robertstown,407,104,103,38,0,245,19,30,20,0,69,0,3,0,0,3,317,
7,White,Shoal Creek,2538,448,788,228,0,1464,29,76,76,0,181,13,5,2,0,20,1665,
8,White,Tesnatee,1231,196,403,144,0,743,26,78,54,0,158,4,5,1,0,10,911,
9,White,Town Creek,1593,298,512,136,2,948,27,68,74,0,169,15,3,2,0,20,1137,
10,White,White Creek,1779,354,619,179,0,1152,23,42,47,0,112,8,2,4,0,14,1278,
