index,County,Precinct,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
0,White,Blue Creek,2352,391,747,227,0,1365,29,133,155,0,317,20,35,15,0,70,1752,
1,White,Blue Ridge,929,168,248,109,1,526,10,31,35,0,76,10,13,10,0,33,635,
2,White,Helen,609,111,133,50,0,294,15,45,33,0,93,9,4,1,0,14,401,
3,White,Mossy Creek,3164,584,1024,290,0,1898,41,88,89,0,218,36,33,11,0,80,2196,
4,White,Mt Yonah,4468,509,1501,458,1,2469,50,238,175,0,463,36,60,17,0,113,3045,
5,White,Nacoochee,1552,202,461,202,1,866,51,125,134,0,310,10,16,6,0,32,1208,
6,White,Robertstown,407,95,97,32,0,224,15,29,19,0,63,6,5,3,0,14,301,
7,White,Shoal Creek,2538,430,748,214,0,1392,32,66,71,0,169,19,26,8,0,53,1614,
8,White,Tesnatee,1231,179,397,133,0,709,24,69,50,0,143,12,16,5,0,33,885,
9,White,Town Creek,1593,282,477,135,1,895,23,65,66,0,154,23,19,10,0,52,1101,
10,White,White Creek,1779,342,599,173,0,1114,21,39,50,0,110,19,13,2,0,34,1258,
