index,County,Precinct,Registered Voters,Carolyn Weaver (Rep)_Election Day Votes,Carolyn Weaver (Rep)_Advanced Voting Votes,Carolyn Weaver (Rep)_Absentee by Mail Votes,Carolyn Weaver (Rep)_Provisional Votes,Carolyn Weaver (Rep)_Choice Total,Total,
0,Whitfield,1A,2533,8,25,11,0,44,44,
1,Whitfield,2A,3090,54,188,49,0,291,291,
2,Whitfield,4A,2586,13,41,13,0,67,67,
3,Whitfield,5A,2238,6,8,1,0,15,15,
4,Whitfield,6A,1690,13,9,2,0,24,24,
5,Whitfield,AN,2474,289,415,126,4,834,834,
6,Whitfield,CA,1953,507,434,125,1,1067,1067,
7,Whitfield,CO,1431,454,336,104,7,901,901,
8,Whitfield,DG,3295,548,814,286,4,1652,1652,
9,Whitfield,ES,1702,293,354,124,0,771,771,
10,Whitfield,FI,2146,439,555,141,2,1137,1137,
11,Whitfield,GL,2510,374,493,142,1,1010,1010,
12,Whitfield,LT,1148,278,415,77,1,771,771,
13,Whitfield,MC,1659,481,496,107,1,1085,1085,
14,Whitfield,NI,2456,639,663,203,1,1506,1506,
15,Whitfield,PG,4721,610,1189,345,3,2147,2147,
16,Whitfield,TH,3836,725,1188,325,2,2240,2240,
17,Whitfield,TI,775,264,134,41,0,439,439,
18,Whitfield,TR,1335,345,454,125,0,924,924,
19,Whitfield,UT,1053,369,252,76,0,697,697,
20,Whitfield,VA,5250,1012,1734,474,1,3221,3221,
21,Whitfield,WS,2647,526,870,272,3,1671,1671,
