index,County,Precinct,Registered Voters,Jevin Jensen (Rep)_Election Day Votes,Jevin Jensen (Rep)_Advanced Voting Votes,Jevin Jensen (Rep)_Absentee by Mail Votes,Jevin Jensen (Rep)_Provisional Votes,Jevin Jensen (Rep)_Choice Total,Total,
0,Whitfield,1A,2533,271,455,234,3,963,963,
1,Whitfield,2A,3090,408,1038,313,5,1764,1764,
2,Whitfield,3A,2221,287,700,260,0,1247,1247,
3,Whitfield,4A,2586,340,875,288,0,1503,1503,
4,Whitfield,5A,2238,253,328,121,3,705,705,
5,Whitfield,6A,1690,200,241,84,1,526,526,
6,Whitfield,AN,2474,329,499,164,5,997,997,
7,Whitfield,CA,1953,507,437,127,1,1072,1072,
8,Whitfield,CO,1431,456,333,107,7,903,903,
9,Whitfield,DG,3295,623,920,319,4,1866,1866,
10,Whitfield,ES,1702,293,351,124,0,768,768,
11,Whitfield,FI,2146,443,555,143,2,1143,1143,
12,Whitfield,GL,2510,442,603,197,1,1243,1243,
13,Whitfield,LT,1148,279,417,76,1,773,773,
14,Whitfield,MC,1659,483,493,109,1,1086,1086,
15,Whitfield,NI,2456,640,664,205,2,1511,1511,
16,Whitfield,PG,4721,712,1533,480,5,2730,2730,
17,Whitfield,TH,3836,732,1186,328,2,2248,2248,
18,Whitfield,TI,775,268,136,41,1,446,446,
19,Whitfield,TR,1335,346,450,133,0,929,929,
20,Whitfield,UT,1053,373,253,77,0,703,703,
21,Whitfield,VA,5250,1017,1729,484,2,3232,3232,
22,Whitfield,WS,2647,527,873,275,3,1678,1678,
