index,County,Precinct,Registered Voters,Kasey Carpenter (I) (Rep)_Election Day Votes,Kasey Carpenter (I) (Rep)_Advanced Voting Votes,Kasey Carpenter (I) (Rep)_Absentee by Mail Votes,Kasey Carpenter (I) (Rep)_Provisional Votes,Kasey Carpenter (I) (Rep)_Choice Total,Total,
0,Whitfield,1A,2533,273,475,241,1,990,990,
1,Whitfield,2A,3090,369,891,280,0,1540,1540,
2,Whitfield,3A,2221,299,714,289,0,1302,1302,
3,Whitfield,4A,2586,351,906,310,0,1567,1567,
4,Whitfield,5A,2238,260,327,126,3,716,716,
5,Whitfield,6A,1690,213,250,80,0,543,543,
6,Whitfield,AN,2474,330,506,165,3,1004,1004,
7,Whitfield,CA,1953,517,442,128,2,1089,1089,
8,Whitfield,DG,3295,625,937,346,2,1910,1910,
9,Whitfield,FI,2146,453,559,140,1,1153,1153,
10,Whitfield,MC,1659,496,500,113,0,1109,1109,
11,Whitfield,TI,775,270,140,43,1,454,454,
