index,County,Precinct,Registered Voters,Johnny Johnson (I) (Rep)_Election Day Votes,Johnny Johnson (I) (Rep)_Advanced Voting Votes,Johnny Johnson (I) (Rep)_Absentee by Mail Votes,Johnny Johnson (I) (Rep)_Provisional Votes,Johnny Johnson (I) (Rep)_Choice Total,Charles McDonald (Dem)_Election Day Votes,Charles McDonald (Dem)_Advanced Voting Votes,Charles McDonald (Dem)_Absentee by Mail Votes,Charles McDonald (Dem)_Provisional Votes,Charles McDonald (Dem)_Choice Total,Total,
0,Worth,Sylvester,3006,113,398,95,0,606,242,464,325,0,1031,1637,
1,Worth,Scooterville,603,187,144,33,0,364,12,9,9,0,30,394,
2,Worth,Minton,543,184,150,35,0,369,7,11,12,0,30,399,
3,Worth,Bridgeboro,1286,290,300,73,0,663,46,61,36,0,143,806,
4,Worth,County Line,887,177,176,49,0,402,12,45,32,0,89,491,
5,Worth,Isabella,1424,249,469,112,0,830,42,92,26,0,160,990,
6,Worth,Piney Woods,336,44,57,16,0,117,22,41,19,0,82,199,
7,Worth,Sylvester East,1406,154,417,92,0,663,53,135,65,0,253,916,
8,Worth,Poulan,887,211,194,47,0,452,45,54,32,0,131,583,
9,Worth,Sumner,871,198,192,51,0,441,48,39,35,0,122,563,
10,Worth,Shingler,554,173,148,33,0,354,19,24,18,0,61,415,
11,Worth,Red Rock,1287,267,233,59,0,559,50,54,54,0,158,717,
12,Worth,Doles,449,149,87,29,0,265,14,18,10,0,42,307,
13,Worth,Oakfield,229,55,43,6,0,104,6,16,26,0,48,152,
14,Worth,Warwick,701,167,117,43,0,327,67,18,58,0,143,470,
