index,County,Precinct,Registered Voters,Austin Scott (I) (Rep)_Election Day Votes,Austin Scott (I) (Rep)_Advanced Voting Votes,Austin Scott (I) (Rep)_Absentee by Mail Votes,Austin Scott (I) (Rep)_Provisional Votes,Austin Scott (I) (Rep)_Choice Total,Lindsay Holliday (Dem)_Election Day Votes,Lindsay Holliday (Dem)_Advanced Voting Votes,Lindsay Holliday (Dem)_Absentee by Mail Votes,Lindsay Holliday (Dem)_Provisional Votes,Lindsay Holliday (Dem)_Choice Total,Total,
0,Worth,Sylvester,3006,124,431,100,0,655,218,419,323,0,960,1615,
1,Worth,Scooterville,603,195,146,33,0,374,6,8,9,0,23,397,
2,Worth,Minton,543,185,155,37,0,377,8,8,11,0,27,404,
3,Worth,Bridgeboro,1286,297,312,75,0,684,39,52,36,0,127,811,
4,Worth,County Line,887,175,183,48,0,406,12,35,34,0,81,487,
5,Worth,Isabella,1424,271,495,113,0,879,21,64,26,0,111,990,
6,Worth,Piney Woods,336,44,60,16,0,120,22,37,19,0,78,198,
7,Worth,Sylvester East,1406,171,450,100,0,721,37,108,59,0,204,925,
8,Worth,Poulan,887,225,202,53,0,480,29,43,29,0,101,581,
9,Worth,Sumner,871,220,199,51,0,470,28,32,40,0,100,570,
10,Worth,Shingler,554,184,154,37,0,375,8,17,18,0,43,418,
11,Worth,Red Rock,1287,278,237,58,0,573,40,47,62,0,149,722,
12,Worth,Doles,449,154,93,32,0,279,5,16,11,0,32,311,
13,Worth,Oakfield,229,55,42,6,0,103,6,13,26,0,45,148,
14,Worth,Warwick,701,173,118,38,0,329,62,20,60,0,142,471,
