index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
0,Worth,Sylvester,3006,221,527,307,0,1055,133,287,105,0,525,1580,
1,Worth,Scooterville,603,123,104,28,0,255,76,46,11,0,133,388,
2,Worth,Minton,543,123,124,30,0,277,66,35,14,0,115,392,
3,Worth,Bridgeboro,1286,224,247,72,0,543,109,115,36,0,260,803,
4,Worth,County Line,887,126,139,51,0,316,60,78,29,0,167,483,
5,Worth,Isabella,1424,200,387,96,0,683,92,171,35,0,298,981,
6,Worth,Piney Woods,336,44,77,30,0,151,22,21,7,0,50,201,
7,Worth,Sylvester East,1406,144,393,108,0,645,58,148,44,0,250,895,
8,Worth,Poulan,887,177,176,47,0,400,78,63,32,0,173,573,
9,Worth,Sumner,871,162,141,60,0,363,83,86,19,0,188,551,
10,Worth,Shingler,554,132,118,31,0,281,56,49,17,0,122,403,
11,Worth,Red Rock,1287,224,173,74,0,471,94,103,41,0,238,709,
12,Worth,Doles,449,99,72,26,0,197,60,34,13,0,107,304,
13,Worth,Oakfield,229,42,33,19,0,94,19,22,10,0,51,145,
14,Worth,Warwick,701,143,85,68,0,296,87,47,32,0,166,462,
