




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Allgood Elem                  2858                          1948                          68.16%
Ashford Park Elem             2432                          2024                          83.22%
Austin                        2538                          2230                          87.86%
Avondale                      2906                          2562                          88.16%
Austin Drive                  2536                          1411                          55.64%
Ashford Dunwoody Rd           2966                          2520                          84.96%
Ashford Parkside              3664                          2826                          77.13%
Avondale High                 3151                          2523                          80.07%
Boulevard                     4675                          3653                          78.14%
Briar Vista Elem              2965                          2273                          76.66%
Briarlake Elem                1752                          1507                          86.02%
Briarwood                     2428                          1820                          74.96%
Brockett Elem                 2752                          1983                          72.06%
Briarcliff                    3122                          2374                          76.04%
Brockett                      2681                          1965                          73.29%
Brookhaven                    3444                          2814                          81.71%
Browns Mill Elem              3829                          2796                          73.02%
Bouldercrest Road             2004                          1362                          67.96%
Bethune Middle                4838                          2869                          59.30%
Burgess Elem                  3493                          2653                          75.95%
Columbia Drive                2526                          1361                          53.88%
Canby Lane Elem               2004                          1277                          63.72%
Columbia Elem                 1794                          773                           43.09%
Cedar Grove Elem              4097                          2678                          65.36%
Chamblee                      2231                          1664                          74.59%
Candler-Murphey Candler Elem  3712                          2527                          68.08%
Chapel Hill Elem              3349                          2281                          68.11%
Chesnut Elem                  2363                          1708                          72.28%
Clairemont West               3264                          2816                          86.27%
Clairmont Road                3223                          2402                          74.53%
Clarkston                     3878                          1993                          51.39%
Clifton                       1731                          1059                          61.18%
Columbia Middle               2178                          1169                          53.67%
Coan Recreation Center        4230                          2996                          70.83%
Cross Keys High               2260                          1633                          72.26%
Crossroads                    2898                          1856                          64.04%
Candler                       3537                          2015                          56.97%
Cedar Grove Middle            1896                          948                           50.00%
Cedar Grove South             3962                          2739                          69.13%
Covington Hwy                 995                           238                           23.92%
Covington                     2376                          1336                          56.23%
Clairemont East               3226                          2753                          85.34%
Coralwood                     3153                          2719                          86.24%
Candler Park                  4018                          3483                          86.68%
Clarkston Community Center    2495                          1443                          57.84%
Chamblee 2                    3137                          2542                          81.03%
Doraville North               3065                          1908                          62.25%
Doraville South               1255                          847                           67.49%
Dresden Elem                  5141                          3403                          66.19%
Decatur                       1937                          1639                          84.62%
Dunaire Elem                  2268                          1416                          62.43%
Dunwoody                      3003                          2246                          74.79%
Dunwoody 2                    2044                          1777                          86.94%
Druid Hills High              2725                          1749                          64.18%
Dunwoody Library              2570                          2248                          87.47%
East Lake                     4139                          3024                          73.06%
Embry Hills                   1721                          1389                          80.71%
Evansdale Elem                3441                          2546                          73.99%
Emory South                   3241                          2525                          77.91%
Emory Road                    2290                          1364                          59.56%
Fairington Elem               5455                          2827                          51.82%
Fernbank Elem                 2125                          1895                          89.18%
Flat Shoals Elem              2409                          1335                          55.42%
Flat Shoals Parkway           3449                          2394                          69.41%
Flat Rock Elem                3142                          2225                          70.81%
Flat Shoals                   2649                          1375                          51.91%
Flakes Mill Fire Station      2103                          1385                          65.86%
Flat Shoals Library           2788                          1469                          52.69%
Freedom Middle                3227                          1899                          58.85%
Glennwood                     2715                          2029                          74.73%
Glenhaven                     1880                          1147                          61.01%
Gresham Road                  3601                          2334                          64.82%
Georgetown Sq                 4155                          2898                          69.75%
Glenwood Road                 2293                          1244                          54.25%
Hambrick Elem                 3776                          2358                          62.45%
Hawthorne Elem                3884                          2714                          69.88%
Henderson Mill                3104                          2409                          77.61%
Huntley Hills Elem            3508                          2483                          70.78%
Hugh Howell                   1773                          1460                          82.35%
Harris-Narvie J Harris Elem   4031                          2676                          66.39%
Harris-Margaret Harris ED     1462                          1084                          74.15%
Idlewood Elem                 2472                          1668                          67.48%
Indian Creek                  2318                          1254                          54.10%
Johnson Estates               1600                          1416                          88.50%
Jolly Elem                    3679                          2216                          60.23%
Kelley Lake Elem              3015                          1737                          57.61%
Kingsley Elem                 2490                          2153                          86.47%
Kelley Chapel Road            1337                          954                           71.35%
Knollwood                     2546                          1520                          59.70%
Kittredge Elem                2161                          1857                          85.93%
Lakeside High                 3216                          2656                          82.59%
Lavista Road                  2223                          1753                          78.86%
Lavista                       3223                          2183                          67.73%
Lithonia                      1730                          924                           53.41%
Lin-Mary Lin Elem             3009                          2459                          81.72%
Lithonia High                 3610                          2072                          57.40%
Livsey Elem                   1350                          1139                          84.37%
Miller-Eldridge L Miller Elem 3455                          2104                          60.90%
McNair High                   4160                          2882                          69.28%
Marbut Elem                   4234                          2488                          58.76%
McNair                        2794                          1743                          62.38%
McLendon                      3607                          2516                          69.75%
McWilliams                    2517                          1753                          69.65%
Medlock                       2208                          1815                          82.20%
Midvale Elem                  2747                          2350                          85.55%
Miller Grove                  4747                          2550                          53.72%
Montclair Elem                2194                          1253                          57.11%
Montreal                      2586                          1861                          71.96%
Meadowview                    3511                          2101                          59.84%
Memorial South                3138                          1517                          48.34%
Midway                        3139                          1723                          54.89%
McNair Academy                1900                          1289                          67.84%
Mount Vernon East             2651                          2285                          86.19%
Mathis-Bob Mathis Elem        2789                          1975                          70.81%
Mount Vernon West             2303                          1934                          83.98%
Metropolitan                  3405                          2526                          74.19%
Montgomery Elem               2446                          2089                          85.40%
Miller Grove Road             2151                          1496                          69.55%
Midvale Road                  1832                          1300                          70.96%
Miller Grove High             3470                          1802                          51.93%
North Decatur                 2166                          1459                          67.36%
North Hairston                2329                          1416                          60.80%
Northlake                     1509                          1271                          84.23%
North Peachtree               1916                          1222                          63.78%
Oak Grove Elem                2253                          1901                          84.38%
Oakcliff Elem                 2125                          1308                          61.55%
Oakhurst                      2398                          2078                          86.66%
Oak View Elem                 5011                          2967                          59.21%
Peachcrest                    2458                          1367                          55.61%
Peachtree Middle              3502                          2495                          71.25%
Princeton Elem                2376                          1560                          65.66%
Pine Lake                     632                           485                           76.74%
Pleasantdale Road             4538                          2523                          55.60%
Ponce de Leon                 3766                          2958                          78.54%
Panola                        1586                          1002                          63.18%
Panola Way Elem               2252                          1184                          52.58%
Piney Grove                   2018                          1123                          55.65%
Panola Road                   2884                          1861                          64.53%
Rainbow Elem                  3768                          2448                          64.97%
Redan Elem                    3020                          2042                          67.62%
Rehoboth                      1813                          1479                          81.58%
Rockbridge Elem               3595                          1947                          54.16%
Rock Chapel Elem              2910                          1931                          66.36%
Rowland Elem                  3765                          1946                          51.69%
Redan-Trotti Library          3990                          2418                          60.60%
Rockbridge Road               3965                          2891                          72.91%
Rowland Road                  2080                          1309                          62.93%
Redan Road                    2932                          1740                          59.35%
Rock Chapel Road              4178                          2888                          69.12%
Redan Middle                  2496                          1648                          66.03%
Sagamore Hills Elem           2925                          2564                          87.66%
Scott                         2805                          2141                          76.33%
Shaw-Robert Shaw Elem         2892                          1853                          64.07%
Stone Mountain Elem           2338                          1593                          68.14%
Silver Lake                   4979                          3784                          76.00%
Skyland                       2100                          1687                          80.33%
Snapfinger Elem               1894                          1350                          71.28%
Smoke Rise                    2108                          1769                          83.92%
Stone Mtn Middle              3247                          1369                          42.16%
Stone Mill Elem               3714                          1604                          43.19%
Shadow Rock Elem              4347                          3050                          70.16%
Stoneview Elem                1988                          984                           49.50%
Salem Middle                  3519                          2564                          72.86%
Shamrock                      1600                          1350                          84.38%
South Deshon                  3470                          2275                          65.56%
Stone Mtn Champion            3098                          1719                          55.49%
Stone Mtn                     1711                          1001                          58.50%
Snapfinger Road N             2705                          1485                          54.90%
Snapfinger Road S             1960                          1380                          70.41%
Stephenson Middle             3822                          2620                          68.55%
South Hairston                3814                          2210                          57.94%
Stephenson High               3555                          2409                          67.76%
Stonecrest Library            3720                          2411                          64.81%
Snapfinger Road               4872                          3651                          74.94%
Terry Mill                    2808                          1908                          67.95%
Toney Elem                    1729                          1042                          60.27%
Tucker Library                3506                          2804                          79.98%
Tilly Mill Road               1552                          1312                          84.54%
Tucker                        2932                          2167                          73.91%
Valley Brook                  1037                          808                           77.92%
Wadsworth                     3159                          1931                          61.13%
Wesley Chapel Library         2922                          2120                          72.55%
Woodrow Road                  3493                          1963                          56.20%
Winnona Park                  2020                          1709                          84.60%
Woodridge Elem                3851                          2281                          59.23%
Warren Tech                   1364                          939                           68.84%
Woodward                      3193                          2374                          74.35%
White Oak                     2951                          1543                          52.29%
Winters Chapel                1434                          1212                          84.52%
Wynbrooke Elem                3496                          2578                          73.74%
Young Road                    1951                          1371                          70.27%
Total:                        546711                        373308                        68.28%

                                                                                                                                                                                                                                 President of the United States
                                                            Donald J. Trump (I) (Rep)                                                                                                                             Joseph R. Biden (Dem)                                                                                                                                 Jo Jorgensen (Lib)                                                                                                                                    
County                        Registered Voters             Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Total                         
Allgood Elem                  2858                          44                            77                            80                            0                             201                           227                           896                           589                           6                             1718                          6                             3                             3                             0                             12                            1931                          
Ashford Park Elem             2432                          191                           543                           156                           0                             890                           103                           553                           418                           1                             1075                          14                            17                            8                             0                             39                            2004                          
Austin                        2538                          227                           572                           302                           3                             1104                          69                            555                           452                           1                             1077                          13                            10                            8                             0                             31                            2212                          
Avondale                      2906                          201                           200                           137                           0                             538                           236                           949                           784                           1                             1970                          14                            17                            10                            0                             41                            2549                          
Austin Drive                  2536                          27                            39                            29                            2                             97                            188                           626                           452                           14                            1280                          5                             8                             8                             0                             21                            1398                          
Ashford Dunwoody Rd           2966                          196                           594                           195                           2                             987                           66                            825                           576                           2                             1469                          8                             19                            10                            0                             37                            2493                          
Ashford Parkside              3664                          179                           600                           267                           2                             1048                          106                           832                           772                           5                             1715                          8                             13                            12                            0                             33                            2796                          
Avondale High                 3151                          56                            127                           95                            0                             278                           112                           1128                          953                           4                             2197                          10                            20                            7                             0                             37                            2512                          
Boulevard                     4675                          48                            145                           62                            1                             256                           242                           1864                          1229                          2                             3337                          13                            14                            17                            0                             44                            3637                          
Briar Vista Elem              2965                          118                           198                           130                           1                             447                           152                           796                           835                           0                             1783                          10                            12                            11                            0                             33                            2263                          
Briarlake Elem                1752                          121                           211                           144                           0                             476                           90                            472                           431                           1                             994                           8                             11                            5                             0                             24                            1494                          
Briarwood                     2428                          115                           387                           112                           1                             615                           110                           604                           442                           4                             1160                          5                             14                            11                            0                             30                            1805                          
Brockett Elem                 2752                          76                            281                           192                           0                             549                           136                           733                           510                           7                             1386                          6                             11                            11                            0                             28                            1963                          
Briarcliff                    3122                          153                           311                           276                           5                             745                           106                           671                           791                           2                             1570                          7                             12                            11                            0                             30                            2345                          
Brockett                      2681                          155                           249                           158                           3                             565                           164                           702                           489                           5                             1360                          15                            11                            4                             0                             30                            1955                          
Brookhaven                    3444                          243                           657                           211                           1                             1112                          151                           884                           594                           2                             1631                          12                            21                            17                            0                             50                            2793                          
Browns Mill Elem              3829                          24                            49                            34                            0                             107                           295                           1468                          889                           7                             2659                          7                             3                             7                             0                             17                            2783                          
Bouldercrest Road             2004                          14                            27                            16                            0                             57                            152                           766                           368                           3                             1289                          2                             5                             1                             0                             8                             1354                          
Bethune Middle                4838                          39                            58                            37                            4                             138                           314                           1372                          994                           17                            2697                          4                             6                             7                             0                             17                            2852                          
Burgess Elem                  3493                          41                            88                            50                            1                             180                           180                           1348                          897                           7                             2432                          5                             8                             11                            0                             24                            2636                          
Columbia Drive                2526                          23                            17                            21                            0                             61                            213                           590                           468                           8                             1279                          3                             2                             5                             0                             10                            1350                          
Canby Lane Elem               2004                          14                            24                            25                            1                             64                            216                           533                           432                           8                             1189                          4                             4                             6                             0                             14                            1267                          
Columbia Elem                 1794                          3                             18                            7                             0                             28                            148                           325                           244                           13                            730                           1                             5                             1                             0                             7                             765                           
Cedar Grove Elem              4097                          31                            43                            20                            2                             96                            275                           1471                          777                           9                             2532                          9                             16                            9                             0                             34                            2662                          
Chamblee                      2231                          109                           310                           75                            1                             495                           112                           604                           405                           2                             1123                          12                            15                            6                             0                             33                            1651                          
Candler-Murphey Candler Elem  3712                          35                            90                            56                            0                             181                           269                           1408                          632                           7                             2316                          9                             6                             2                             0                             17                            2514                          
Chapel Hill Elem              3349                          22                            34                            22                            1                             79                            245                           1206                          703                           7                             2161                          5                             8                             7                             0                             20                            2260                          
Chesnut Elem                  2363                          107                           236                           75                            2                             420                           178                           711                           373                           0                             1262                          5                             7                             4                             0                             16                            1698                          
Clairemont West               3264                          69                            156                           138                           0                             363                           121                           1178                          1101                          4                             2404                          7                             11                            10                            0                             28                            2795                          
Clairmont Road                3223                          93                            184                           178                           0                             455                           150                           837                           923                           7                             1917                          6                             8                             6                             0                             20                            2392                          
Clarkston                     3878                          56                            89                            50                            0                             195                           365                           944                           427                           14                            1750                          10                            11                            4                             0                             25                            1970                          
Clifton                       1731                          8                             26                            13                            1                             48                            129                           525                           341                           5                             1000                          1                             3                             3                             0                             7                             1055                          
Columbia Middle               2178                          21                            30                            6                             0                             57                            143                           599                           353                           7                             1102                          0                             4                             1                             0                             5                             1164                          
Coan Recreation Center        4230                          34                            134                           67                            1                             236                           189                           1566                          923                           2                             2680                          5                             25                            17                            0                             47                            2963                          
Cross Keys High               2260                          96                            260                           123                           0                             479                           106                           507                           490                           4                             1107                          12                            10                            19                            0                             41                            1627                          
Crossroads                    2898                          21                            39                            31                            0                             91                            230                           874                           627                           7                             1738                          6                             6                             4                             0                             16                            1845                          
Candler                       3537                          44                            70                            21                            1                             136                           221                           995                           613                           14                            1843                          6                             11                            4                             0                             21                            2000                          
Cedar Grove Middle            1896                          17                            20                            14                            0                             51                            123                           493                           265                           3                             884                           3                             1                             0                             1                             5                             940                           
Cedar Grove South             3962                          21                            47                            37                            0                             105                           256                           1569                          755                           6                             2586                          10                            13                            6                             0                             29                            2720                          
Covington Hwy                 995                           3                             7                             2                             0                             12                            54                            101                           60                            5                             220                           0                             2                             1                             1                             4                             236                           
Covington                     2376                          48                            60                            35                            0                             143                           111                           682                           358                           6                             1157                          6                             10                            9                             0                             25                            1325                          
Clairemont East               3226                          52                            169                           109                           2                             332                           87                            1116                          1165                          2                             2370                          3                             17                            16                            0                             36                            2738                          
Coralwood                     3153                          104                           359                           233                           3                             699                           108                           903                           948                           2                             1961                          9                             15                            15                            0                             39                            2699                          
Candler Park                  4018                          52                            154                           94                            0                             300                           98                            1695                          1328                          2                             3123                          7                             15                            17                            0                             39                            3462                          
Clarkston Community Center    2495                          62                            99                            49                            3                             213                           194                           610                           389                           9                             1202                          7                             3                             5                             0                             15                            1430                          
Chamblee 2                    3137                          132                           513                           186                           0                             831                           101                           948                           603                           0                             1652                          8                             14                            15                            0                             37                            2520                          
