




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
101                           896                           661                           73.77%
102                           1278                          664                           51.96%
103                           1428                          791                           55.39%
104                           2976                          1677                          56.35%
105                           832                           552                           66.35%
106                           1182                          520                           43.99%
107                           1800                          1304                          72.44%
108                           517                           337                           65.18%
109                           1052                          636                           60.46%
111                           1578                          898                           56.91%
112                           882                           546                           61.90%
114                           856                           451                           52.69%
201                           581                           795                           136.83%
115                           1332                          262                           19.67%
202                           4492                          2563                          57.06%
203                           991                           548                           55.30%
204                           1578                          1105                          70.03%
207                           2705                          1391                          51.42%
208                           2651                          1452                          54.77%
210                           1507                          984                           65.30%
301                           2409                          1957                          81.24%
302                           1032                          618                           59.88%
303                           1417                          1168                          82.43%
304                           365                           278                           76.16%
305                           428                           390                           91.12%
306                           3934                          2604                          66.19%
307                           1642                          1221                          74.36%
308                           622                           397                           63.83%
309                           3340                          2478                          74.19%
310                           5163                          3608                          69.88%
401                           2093                          1537                          73.44%
402                           3311                          1730                          52.25%
404                           1748                          1186                          67.85%
405                           4424                          3214                          72.65%
406                           3221                          2368                          73.52%
501                           3549                          2148                          60.52%
502                           4138                          2578                          62.30%
503                           4021                          2469                          61.40%
504                           2339                          1275                          54.51%
506                           416                           236                           56.73%
507                           968                           648                           66.94%
509                           2172                          1463                          67.36%
601                           3988                          2256                          56.57%
603                           3570                          2272                          63.64%
604                           1811                          1056                          58.31%
605                           3880                          2300                          59.28%
607                           1812                          1244                          68.65%
608                           1472                          1031                          70.04%
701                           2403                          1844                          76.74%
702                           1943                          1419                          73.03%
703                           4644                          2903                          62.51%
705                           2276                          1698                          74.60%
706                           3315                          2489                          75.08%
707                           2122                          1386                          65.32%
708                           305                           235                           77.05%
709                           576                           414                           71.88%
801                           523                           368                           70.36%
801B                          523                           372                           71.13%
802                           3251                          2103                          64.69%
803                           252                           113                           44.84%
804                           2096                          1388                          66.22%
804H                          2863                          1940                          67.76%
805                           798                           550                           68.92%
806                           1212                          835                           68.89%
807                           1578                          944                           59.82%
808                           2366                          1709                          72.23%
809                           879                           638                           72.58%
810                           425                           315                           74.12%
Total:                        134749                        87530                         64.96%

                                                                                                                                                                                                                                 President of the United States
                                                            Donald J. Trump (I) (Rep)                                                                                                                             Joseph R. Biden (Dem)                                                                                                                                 Jo Jorgensen (Lib)                                                                                                                                    
County                        Registered Voters             Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Total                         
101                           896                           115                           120                           58                            1                             294                           69                            150                           134                           2                             355                           4                             3                             1                             0                             8                             657                           
102                           1278                          56                            62                            42                            0                             160                           128                           168                           184                           3                             483                           4                             2                             2                             0                             8                             651                           
103                           1428                          6                             15                            5                             0                             26                            160                           302                           288                           2                             752                           1                             1                             0                             0                             2                             780                           
104                           2976                          25                            51                            33                            0                             109                           427                           529                           578                           6                             1540                          10                            3                             4                             0                             17                            1666                          
105                           832                           7                             17                            10                            0                             34                            114                           225                           171                           1                             511                           1                             2                             2                             0                             5                             550                           
106                           1182                          43                            50                            32                            0                             125                           143                           109                           130                           2                             384                           3                             3                             3                             0                             9                             518                           
107                           1800                          184                           255                           139                           0                             578                           131                           262                           303                           1                             697                           5                             9                             6                             0                             20                            1295                          
108                           517                           17                            14                            9                             0                             40                            59                            109                           119                           0                             287                           2                             3                             2                             0                             7                             334                           
109                           1052                          29                            43                            26                            0                             98                            99                            241                           174                           1                             515                           6                             5                             7                             0                             18                            631                           
111                           1578                          56                            80                            48                            0                             184                           168                           259                           276                           1                             704                           3                             1                             4                             0                             8                             896                           
112                           882                           22                            83                            97                            0                             202                           44                            129                           161                           2                             336                           1                             3                             2                             0                             6                             544                           
114                           856                           21                            18                            17                            0                             56                            112                           137                           135                           1                             385                           0                             0                             2                             0                             2                             443                           
201                           581                           16                            8                             9                             1                             34                            246                           273                           226                           4                             749                           5                             4                             1                             0                             10                            793                           
115                           1332                          43                            41                            24                            0                             108                           42                            46                            58                            0                             146                           6                             2                             0                             0                             8                             262                           
202                           4492                          217                           290                           220                           0                             727                           499                           741                           541                           9                             1790                          13                            14                            5                             0                             32                            2549                          
203                           991                           4                             5                             2                             0                             11                            140                           179                           204                           3                             526                           5                             0                             1                             0                             6                             543                           
204                           1578                          176                           209                           124                           1                             510                           122                           248                           192                           1                             563                           8                             7                             12                            1                             28                            1101                          
207                           2705                          52                            52                            46                            1                             151                           358                           448                           408                           7                             1221                          6                             2                             3                             0                             11                            1383                          
208                           2651                          82                            98                            60                            1                             241                           307                           489                           393                           3                             1192                          8                             3                             5                             0                             16                            1449                          
210                           1507                          44                            65                            39                            1                             149                           152                           317                           351                           3                             823                           2                             0                             6                             0                             8                             980                           
301                           2409                          323                           562                           268                           1                             1154                          136                           315                           309                           1                             761                           11                            9                             10                            0                             30                            1945                          
302                           1032                          31                            66                            38                            0                             135                           137                           211                           122                           0                             470                           2                             2                             4                             0                             8                             613                           
303                           1417                          160                           439                           179                           1                             779                           32                            161                           166                           0                             359                           11                            7                             2                             0                             20                            1158                          
